Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Min,Fwd IAT Mean,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Packet Length Variance,FIN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Active Std,Active Max,Active Min,Idle Std
0.003369,1,86,86,86,86.0,376,376,137132.6803205699,593.6479667557138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,296.8239833778569,296.8239833778569,86,21025.0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
0.002153,1,94,94,94,94.0,109,109,94287.04133766836,928.9363678588016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,464.4681839294008,464.4681839294008,94,56.25,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
0.214707,11,5004,1292,73,454.9090909090909,1292,64,58181.61494501809,116.43775005006825,0.008946125,0.0132302192042576,0.0,0.0214707,5.3e-05,0.186354,0.014334923076923,0.0230126378338296,0.078341,0.0,0,0,88,51.23261002203002,65.2051400280382,64,282601.17759999994,0,0,0,0,0,1.2727272727272727,0,0,0.0,0.0,0.0,0.0,0.0
0.002322,1,99,99,99,99.0,115,115,92161.9293712317,861.3264427217916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,430.6632213608958,430.6632213608958,99,64.0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
0.002205,1,99,99,99,99.0,149,149,112471.6553287982,907.02947845805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,453.51473922902494,453.51473922902494,99,625.0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
0.252757,16,11141,1292,73,696.3125,1292,66,82636.68266358598,138.47292063127827,0.0074340294117647,0.0153254303355476,0.0,0.0138979333333333,1.7e-05,0.234447,0.0130248333333333,0.0251615172728558,0.098527,0.0,0,0,128,63.30190657429864,75.17101405697963,66,323292.97632653057,0,0,0,0,0,1.1875,0,0,0.0,0.0,0.0,0.0,0.0
0.022382,1,88,88,88,88.0,136,136,10008.042176749172,89.35751943526049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,44.67875971763024,44.67875971763024,88,576.0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
0.022283,1,88,88,88,88.0,181,181,12071.98312614998,89.75452138401472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,44.87726069200736,44.87726069200736,88,2162.25,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
2.639543,28,7482,1292,85,267.2142857142857,1242,66,17463.62912064702,26.898595703877525,0.0377077571428571,0.1649096740562139,0.0,0.0977608518518518,4.9e-05,2.610844,0.0621629523809523,0.212368279497798,0.963682,0.0,0,0,224,10.607896897303812,16.29069880657371,66,303366.3229517953,0,0,0,0,0,1.5357142857142858,0,0,0.0,0.0,0.0,0.0,0.0
0.258147,18,5693,1292,73,316.27777777777777,1292,64,123259.22826916448,178.19304504797654,0.0057366,0.0124223990694229,0.0,0.0151851176470588,4.7e-05,0.2361459999999999,0.0087461481481481,0.0202846239974714,0.095397,0.0,0,0,144,69.72771327964298,108.46533176833354,64,335740.0288279773,0,0,0,0,0,1.5555555555555556,0,0,0.0,0.0,0.0,0.0,0.0
